%
Copyright (C) 1991-2013 Altera Corporation
Your use of Altera Corporation's design tools, logic functions 
and other software and tools, and its AMPP partner logic 
functions, and any output files from any of the foregoing 
(including device programming or simulation files), and any 
associated documentation or information are expressly subject 
to the terms and conditions of the Altera Program License 
Subscription Agreement, Altera MegaCore Function License 
Agreement, or other applicable license agreement, including, 
without limitation, that your use is for the sole purpose of 
programming logic devices manufactured by Altera and sold by 
Altera or its authorized distributors.  Please refer to the 
applicable agreement for further details.
%

GROUP CREATE uart:u_uart0|i_wb_dat[7..0] = uart:u_uart0|i_wb_dat[7] uart:u_uart0|i_wb_dat[6] uart:u_uart0|i_wb_dat[5] uart:u_uart0|i_wb_dat[4] uart:u_uart0|i_wb_dat[3] uart:u_uart0|i_wb_dat[2] uart:u_uart0|i_wb_dat[1] uart:u_uart0|i_wb_dat[0] ;
INPUTS brd_clk_p;
OUTPUTS i_uart0_tx o_uart0_rx uart:u_uart0|tx_bit_pulse uart:u_uart0|i_wb_dat[7..0];
UNIT ns;
RADIX HEX;
PATTERN
             0.0> 0 = X X X XX 
  101000000000.0> 0 = 1 1 0 00 
  101500000000.0> 1 = 1 1 0 00 
  102000000000.0> 0 = 1 1 0 00 
  102500000000.0> 1 = 1 1 0 00 
  103000000000.0> 0 = 1 1 0 00 
  103500000000.0> 1 = 1 1 0 00 
  104000000000.0> 0 = 1 1 0 00 
  104500000000.0> 1 = 1 1 0 00 
  105000000000.0> 0 = 1 1 0 00 
  105500000000.0> 1 = 1 1 0 00 
  106000000000.0> 0 = 1 1 0 00 
  106500000000.0> 1 = 1 1 0 00 
  107000000000.0> 0 = 1 1 0 00 
  107500000000.0> 1 = 1 1 0 00 
  108000000000.0> 0 = 1 1 0 00 
  108500000000.0> 1 = 1 1 0 00 
  109000000000.0> 0 = 1 1 0 00 
  109500000000.0> 1 = 1 1 0 00 
  110000000000.0> 0 = 1 1 0 00 
  110500000000.0> 1 = 1 1 0 00 
  111000000000.0> 0 = 1 1 0 00 
  111500000000.0> 1 = 1 1 0 00 
  112000000000.0> 0 = 1 1 0 00 
  112500000000.0> 1 = 1 1 0 00 
  113000000000.0> 0 = 1 1 0 00 
  113500000000.0> 1 = 1 1 0 00 
  114000000000.0> 0 = 1 1 0 00 
  114500000000.0> 1 = 1 1 0 00 
  115000000000.0> 0 = 1 1 0 00 
  115500000000.0> 1 = 1 1 0 00 
  116000000000.0> 0 = 1 1 0 00 
  116500000000.0> 1 = 1 1 0 00 
  117000000000.0> 0 = 1 1 0 00 
  117500000000.0> 1 = 1 1 0 00 
  118000000000.0> 0 = 1 1 0 00 
  118500000000.0> 1 = 1 1 0 00 
  119000000000.0> 0 = 1 1 0 00 
  119500000000.0> 1 = 1 1 0 00 
  120000000000.0> 0 = 1 1 0 00 
  120500000000.0> 1 = 1 1 0 00 
  121000000000.0> 0 = 1 1 0 00 
  121500000000.0> 1 = 1 1 0 00 
  122000000000.0> 0 = 1 1 0 00 
  122500000000.0> 1 = 1 1 0 00 
  123000000000.0> 0 = 1 1 0 00 
  123500000000.0> 1 = 1 1 0 00 
  124000000000.0> 0 = 1 1 0 00 
  124500000000.0> 1 = 1 1 0 00 
  125000000000.0> 0 = 1 1 0 00 
  125500000000.0> 1 = 1 1 0 00 
  126000000000.0> 0 = 1 1 0 00 
  126500000000.0> 1 = 1 1 0 00 
  127000000000.0> 0 = 1 1 0 00 
  127500000000.0> 1 = 1 1 0 00 
  128000000000.0> 0 = 1 1 0 00 
  128500000000.0> 1 = 1 1 0 00 
  129000000000.0> 0 = 1 1 0 00 
  129500000000.0> 1 = 1 1 0 00 
  130000000000.0> 0 = 1 1 0 00 
  130500000000.0> 1 = 1 1 0 00 
  131000000000.0> 0 = 1 1 0 00 
  131500000000.0> 1 = 1 1 0 00 
  132000000000.0> 0 = 1 1 0 00 
  132500000000.0> 1 = 1 1 0 00 
  133000000000.0> 0 = 1 1 0 00 
  133500000000.0> 1 = 1 1 0 00 
  134000000000.0> 0 = 1 1 0 00 
  134500000000.0> 1 = 1 1 0 00 
  135000000000.0> 0 = 1 1 0 00 
  135500000000.0> 1 = 1 1 0 00 
  136000000000.0> 0 = 1 1 0 00 
  136500000000.0> 1 = 1 1 0 00 
  137000000000.0> 0 = 1 1 0 00 
  137500000000.0> 1 = 1 1 0 00 
  138000000000.0> 0 = 1 1 0 00 
  138500000000.0> 1 = 1 1 0 00 
  139000000000.0> 0 = 1 1 0 00 
  139500000000.0> 1 = 1 1 0 00 
  140000000000.0> 0 = 1 1 0 00 
  140500000000.0> 1 = 1 1 0 00 
  141000000000.0> 0 = 1 1 0 00 
  141500000000.0> 1 = 1 1 0 00 
  142000000000.0> 0 = 1 1 0 00 
  142500000000.0> 1 = 1 1 0 00 
  143000000000.0> 0 = 1 1 0 00 
